timestamp,date;_GM;T,sta;tu;name;away_team_name;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no
1692986400,Aug;25;2023;-;Shabab;Dhamk;3;1;0;1,59;1;1;1;2;0;0;0;89;71;10;0;4;0;4;0;3;1;2;2;21;8;6;3;8;4;19;17;66;34;1,67;1,08;1,87;0,89;1,5;50;50;0;0;0;0;50;0;100;8;7;1,55;4,18;5,7;0;1,9;0;0;1,91;1,8
1692986400,Aug;25;2023;-;Taawon;Abha;3;0;0;1,76;0,12;1;0;1;0;0;0;85;;6;6;1;0;2;0;0;1;1;1;20;14;7;2;11;7;19;10;57;43;0;0;2,17;1,04;0;0;0;0;0;0;0;0;0;0;0;0;1,48;4,45;6,25;1,25;1,76;2,75;4,75;1,91;1,8
1692986400,Aug;25;2023;-;Fateh; Nassr;3;1;0;1,35;2,53;0;5;5;2;0;2;;27,38,55,81,90'6;3;9;1;0;1;0;0;1;0;1;10;25;2;8;5;11;10;12;44;56;1,29;1,06;0,99;2,43;2,5;100;100;50;0;0;50;100;50;50;8;4;5,88;4,24;1,36;1,17;1,72;2,45;4,5;1,67;2,1
1693234800,Aug;28;2023;-;ha; Feiha;4;1,5;1;1,76;1,47;2;1;3;1;1;0;36,63;87;1;9;2;0;1;0;1;1;0;1;9;20;4;3;3;9;12;14;35;65;1,03;0,47;1,2;1,3;2,25;75;75;25;25;0;75;75;25;50;4;3,5;2,04;3,6;3,42;1,22;1,76;2,85;5;1,61;2,25
1693245600,Aug;28;2023;-;Raed; Riyadh;4;0;1;1,12;0,94;3;0;3;2;2;0;18,45'2,68;;6;6;2;0;2;0;0;2;1;1;11;11;5;5;5;3;14;13;48;52;0,71;0,78;1,32;1,16;3,75;50;100;100;75;0;50;75;100;100;2,5;3,5;2,09;3,62;3,27;1,22;1,76;2,9;5;1,61;2,25
1693245600,Aug;28;2023;-;Hilal; Ittifaq;4;1;3;2,88;1,35;2;0;2;2;2;0;24,41;;8;0;1;0;0;0;0;1;0;0;24;7;9;3;9;3;8;10;64;36;2,59;0,83;2,3;0,76;2;50;100;0;0;0;50;100;0;50;12;2;1,18;6,75;15;0;1,5;2,41;0;2;1,73
1693245600,Aug;28;2023;-;Wahda; Ittihad;4;3;3;1,29;1,47;0;3;3;0;0;0;;63,67,73;5;4;2;0;1;0;2;0;0;1;12;12;2;6;7;3;10;14;47;53;1,18;1,92;1,1;1,28;3,75;50;100;100;75;0;75;75;75;100;8,5;2,5;12,54;5,47;1,14;1,18;1,6;2,55;4,33;2,38;1,55
1693321200,Aug;29;2023;-;Akhdoud; Taawon;4;0;2;1,12;1,71;0;1;1;1;0;1;;45'9;5;4;3;0;2;0;0;3;0;2;5;18;3;7;2;9;13;14;39;61;1,26;1,68;0,88;2,01;3;75;100;50;50;0;75;100;0;75;11,5;6;3,1;3,52;2,2;1,28;1,9;3,25;5,5;1,7;2,1
1693321200,Aug;29;2023;-;amk; Fateh;4;1;3;1,41;1,29;2;2;4;2;2;0;23,45'3;61,90'3;3;10;2;0;1;0;2;0;0;1;13;21;5;10;5;5;10;9;34;66;1,82;1,35;1,16;2,13;4;100;100;100;100;0;100;100;50;100;14;3;2,8;3,52;2,39;1,22;1,76;2,85;5;1,59;2,29
1693332000,Aug;29;2023;-;Khaleej; Hazm;4;0;0,5;0,88;0,59;1;1;2;1;1;0;22;61;6;5;2;0;4;0;1;1;2;2;9;15;4;7;2;5;13;13;54;46;1,22;1,01;0,97;1,63;3;75;75;75;75;0;75;75;75;75;6,5;4;2,39;3,55;2,78;1,24;1,76;2,87;5,3;1,6;2,2
1693332000,Aug;29;2023;-;Ahli; Ta'ee;4;3;0;2,18;0,53;2;0;2;1;1;0;39,59;;7;1;2;0;2;1;0;2;2;1;24;4;10;2;8;2;21;14;59;41;1,44;0,93;2,26;0,54;2,25;25;75;25;25;0;25;25;75;100;3;2,5;1,24;6,1;11,5;1,17;1,52;2,41;4;2;1,75
1693332000,Aug;29;2023;-;Nassr; Shabab;4;0;0;2,29;1;4;0;4;3;3;0;13,38,41,80;;5;4;2;0;5;1;1;1;4;2;17;4;11;2;3;0;14;9;59;41;2,35;1,15;2,02;0,53;3;50;100;50;50;0;50;100;50;100;20;3;1,3;4,4;6,86;0;1,62;2,39;0;2;1,73
1693580400,Sep;1;2023;-;Feiha; Raed;5;2;0;1,12;1,06;0;0;0;0;0;0;;;5;8;1;0;3;0;1;0;1;2;12;6;4;2;2;2;17;14;44;56;0,91;1,76;1,01;0,64;1,5;25;25;25;25;0;25;25;25;75;16;4;2,03;3,58;3,3;1,25;1,73;2,75;5;1,61;2,12
1693580400,Sep;1;2023;-;Ta'ee;Abha;5;1,5;0;1,29;0,12;1;0;1;0;0;0;83;;8;4;3;0;1;0;0;3;0;1;16;13;3;4;7;5;13;14;58;42;0,85;1,04;1,32;1,17;1,5;0;25;25;0;0;0;25;25;100;7,5;2,5;1,94;3,63;3,7;1,25;1,75;3;5;1,63;2,22
1693591200,Sep;1;2023;-;Riyadh; Akhdoud;5;1,5;0,5;1,12;0,82;0;1;1;0;0;0;;55;5;8;0;0;1;0;0;0;0;1;8;8;2;4;5;1;21;15;50;50;1,13;0,85;0,83;0,96;2;25;50;25;25;0;25;75;0;75;5,5;4,5;2,65;3,5;2,43;1,25;1,73;2,75;5;1,58;2,17
1693591200,Sep;1;2023;-;Ittihad; Hil;5;3;3;1,71;2,76;3;4;7;4;3;1;16,38,45'8;20,60,65,71;5;11;3;0;1;0;1;2;0;1;17;15;10;8;3;5;11;16;44;56;1,81;2,37;1,82;1,76;3;25;100;50;50;0;25;50;100;100;13,5;3,5;2,62;3,3;2,6;0;1,8;2,3;0;1,62;2,2
1693677600,Sep;2;2023;-;Ittifaq;Dhamk;5;2;0,5;1,47;1;3;1;4;3;2;1;13,23,68;7;4;1;1;0;2;0;1;0;0;2;12;8;8;3;0;4;9;11;61;39;1,43;0,98;1,38;0,9;2;75;75;25;0;0;0;50;50;100;7,5;6;1,73;3,78;4,3;1,25;1,78;2,95;5;1,7;2,1
1693677600,Sep;2;2023;-;Fateh; Ahli;5;0,5;3;1,35;1,65;5;1;6;2;1;1;21,58,89,90'3,90'14;6;6;6;3;0;4;1;2;1;1;4;11;20;7;10;4;5;15;16;38;62;1,14;1,15;1,46;2,19;3,75;75;100;75;75;25;100;100;75;75;8;4,5;5,8;4,2;1,4;1,17;1,68;2,45;4,33;1,66;2,04
1693677600,Sep;2;2023;-;Shabab; Kheej;5;1;0,5;1,59;1,29;1;3;4;2;1;1;20;39,68,81;7;4;4;0;2;1;0;4;0;3;19;9;4;4;10;4;18;19;66;34;1,77;0,97;1,71;1,01;2,5;100;100;25;25;0;25;75;50;100;12,5;4;1,36;4,33;6;0;1,68;0;0;1,8;1,91
1693677600,Sep;2;2023;-;Hazm; Nassr;5;0;1,5;0,82;2,53;1;5;6;2;0;2;47;33,45'8,57,68,78;0;8;0;0;1;0;0;0;0;1;6;20;5;11;1;6;14;11;31;69;0,84;1,75;0,86;2,27;3;25;100;50;25;25;25;100;50;100;9;4,5;15;6,5;1,18;1,18;1,5;2,3;4;2,19;1,57
1693677600,Sep;2;2023;-;Taawon; Wahda;5;3;1,5;1,76;0,82;4;1;5;2;2;0;10,28,62,85;90;4;5;3;0;0;0;1;2;0;0;15;8;7;2;2;4;10;11;62;38;2,17;1,76;1,46;0,73;1,5;0;25;25;0;0;0;50;25;75;12,5;2;1,8;3,75;4;1,22;1,75;2,9;5;1,68;2,1
1694703600,Sep;14;2023;-;Akhdoud; Ittihad;6;0;3;1,12;1,47;0;1;1;0;0;0;;72;5;6;1;0;0;0;0;1;0;0;9;11;5;6;3;2;8;8;38;62;1,07;1,7;1,35;1,28;2,92;25;75;75;42;0;42;67;34;75;10,17;4,17;15,75;7;1,17;1,2;1,62;2,6;4,5;2,45;1,48
1694714400,Sep;14;2023;-;Wahda;Dhamk;6;1,5;0,33;1,29;1;4;2;6;3;2;1;17,45'1,52,62;36,83;2;2;1;0;2;1;0;1;1;2;12;13;8;7;3;3;15;16;50;50;1,14;0,96;1,4;1,38;2,92;59;84;67;42;0;42;42;67;100;4,83;5,67;2,02;3,29;2,92;1,25;1,77;2,9;5,5;1,6;2,15
1694790000,Sep;15;2023;-;Feiha; Shabab;6;1,67;0;1,12;1;0;1;1;0;0;0;;52;5;4;3;0;2;1;2;1;1;2;14;7;3;3;10;2;19;16;41;59;0,94;0,84;1,39;0,96;2,67;42;67;67;67;0;67;67;42;67;9,83;5,67;4,25;3,9;1,76;0;1,77;0;0;1,73;2
1694800800,Sep;15;2023;-;Hilal; Riyadh;6;2;0,5;2,88;0,94;6;1;7;2;2;0;30,45'4,68,83,87,90'5;90'6;3;4;1;0;4;0;1;0;4;0;32;10;13;3;12;5;16;14;67;33;2,45;0,97;3,06;0,98;2,75;50;100;50;25;0;100;100;25;50;12;3,5;1,12;8,4;20;0;1,4;2,14;2,31;2,5;1,5
1694800800,Sep;15;2023;-;Khaleej; Fateh;6;0,5;2;0,88;1,29;1;3;4;2;0;2;82;10,13,66;6;3;1;0;1;1;1;0;0;2;15;10;7;8;4;0;16;8;48;52;1,09;1,74;1,57;1,33;3,5;100;100;75;75;0;75;100;50;100;10;3;3,3;3,42;1,84;1,22;1,72;2,85;5,25;1,67;2,1
1694865600,Sep;16;2023;-;bha; Ittifaq;6;2;1,5;1,76;1,35;1;3;4;0;0;0;90'8;58,75,82;3;4;2;0;1;0;1;1;0;1;12;10;5;4;4;4;5;15;38;62;1,09;0,8;1,16;1,1;2,34;34;84;34;17;0;42;84;34;75;2,67;1,67;4,52;3,57;1,52;1,24;1,7;2,98;5,55;1,83;1,83
1694876400,Sep;16;2023;-;Raed; Nassr;6;1;2;1,12;2,53;1;3;4;1;0;1;89;45'1,49,78;1;5;1;1;4;0;2;0;1;3;12;17;3;8;8;6;10;13;36;64;0,92;1,92;1,09;1,85;4;34;100;100;50;34;50;84;84;100;10,34;3;10,25;6,1;1,25;1,15;1,5;2,24;4;1,91;1,8
1694876400,Sep;16;2023;-;Hazm; Ta'ee;6;0;0;0,82;0,53;1;1;2;2;1;1;45'4;12;5;8;5;0;3;0;2;3;1;2;12;13;5;7;3;5;23;12;48;52;0,85;0,73;1,15;1,53;3;25;100;25;25;25;25;75;50;100;2;4,5;3,1;3,62;2,17;1,25;1,77;2,95;5,3;1,62;2,2
1694887200,Sep;16;2023;-;Ahli; Taawon;6;3;2,33;2,18;1,71;3;2;5;3;2;1;4,23,67;45'3,51;4;6;4;1;1;1;1;4;0;2;13;14;7;7;4;5;17;10;46;54;1,71;1,79;1,5;1,52;2;33;67;17;17;0;33;84;17;67;10,66;3;1,46;4,68;6,2;1,16;1,6;2,4;4,2;1,8;1,91
1695308400,Sep;21;2023;-;Taawon; Raed;7;3;0,5;1,76;1,06;2;1;3;3;2;1;9,16;39;5;9;2;0;2;0;1;1;0;2;15;15;6;4;6;10;20;16;41;59;1,81;1,2;1,39;1,64;1,75;25;25;25;25;25;25;25;25;75;15;4,5;1,54;3,71;4,55;1,22;1,72;2,8;5,25;1,72;2,05
1695308400,Sep;21;2023;-;Ittifaq; Ta'ee;7;2,33;0,33;1,47;0,53;4;3;7;4;2;2;2,41,72,90'3;10,36,54;6;3;3;0;2;0;1;2;1;1;18;12;7;7;8;4;5;9;56;44;1,41;1;1,83;1,4;2,5;67;100;34;17;0;33;84;33;84;8,33;4,33;1,7;3,36;3,92;1,28;1,8;3,3;6,5;1,8;1,95
1695308400,Sep;21;2023;-;amk; Hil;7;1;3;1,41;2,76;1;1;2;1;0;1;68;9;4;2;2;0;1;0;2;0;0;1;16;11;5;3;7;5;8;10;45;55;1,49;2,16;1,48;1,17;4,5;84;100;100;100;17;84;100;100;100;15;3,33;16,25;7,85;1,15;0;1,36;1,98;2,25;2;1,73
1695319200,Sep;21;2023;-;Shabab; Hazm;7;0,67;0,67;1,59;0,59;4;1;5;2;2;0;45,45'2,49,90'7;66;4;3;3;0;1;0;0;3;1;0;12;8;8;6;2;2;13;14;56;44;1,75;1,22;1,64;1,24;2,34;84;84;33;33;0;33;67;50;84;12,66;6;1,55;3,69;4,44;0;1,77;0;0;1,8;1,91
1695319200,Sep;21;2023;-;Ittihad; Fateh;7;1,5;2,33;1,71;1,29;2;1;3;3;2;1;38,45'1;30;5;4;3;0;3;0;1;2;1;2;18;8;6;4;3;0;10;11;59;41;1,82;1,6;1,47;0,76;4,25;75;100;75;75;25;75;75;84;100;11,33;3,83;1,22;5,2;7,77;1,13;1,42;2,13;3,5;1,78;1,95
1695394800,Sep;22;2023;-;Akhdoud; Kheej;7;0;1,33;1,12;1,29;0;1;1;0;0;0;;60;8;6;2;0;3;0;0;2;0;3;10;10;5;7;3;2;20;13;51;49;1,16;0,98;1,15;1,39;2,67;67;67;50;50;0;50;84;34;84;9,34;4,67;2,87;3,3;2,45;1,28;1,85;3,25;6,25;1,7;2,1
1695394800,Sep;22;2023;-;Riyadh; Feiha;7;1;0,5;1,12;1,47;1;3;4;1;0;1;80;17,63,90'7;6;5;1;0;0;0;0;1;0;0;10;17;4;9;5;5;15;5;52;48;1,03;0,89;1,31;1,88;2,25;50;67;42;17;0;42;84;25;59;9,5;3,17;2,05;3,5;3,5;1,25;1,73;2,9;5,25;1,67;2,1
1695405600,Sep;22;2023;-;Wahda;Abha;7;2;0;1,29;0,12;4;0;4;2;2;0;8,24,65,88;;6;1;1;0;1;0;0;1;1;0;26;9;13;5;9;1;11;11;66;34;1,23;1,1;2,61;0,96;2,67;34;50;50;34;17;34;34;50;100;8;3,17;1,91;3,6;3,8;1,23;1,67;2,74;5,05;1,57;2,2
1695405600,Sep;22;2023;-;Nassr; Ahli;7;1,5;1,5;2,29;1,65;4;3;7;4;3;1;4,17,45'6,52;30,50,87;1;6;2;0;2;0;1;1;1;1;15;22;8;10;3;8;14;13;60;40;2,19;1,67;1,52;2,36;4;50;100;75;75;25;75;100;50;100;14;6,5;1,71;3,57;3,65;1,18;1,53;2,38;4;1,55;2,35
