timestamp,date;_GM;T,sta;tu;s;attendance;home_team_name;away_team_name;referee;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no;stadium_name;
1724781600,Aug;27;2024;-;6:00pm;complete;N/A; Raed; Quadisiya;N/A;2;0.00;0.00;1.17;1.86;0;1;1;0;0;0;;79;2;5;3;0;2;0;1;2;1;1;4;13;0;7;3;3;11;15;41;59;0.00;0.00;0.39;1.46;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.41;3.13;1.97;1.20;1.73;2.55;4.50;1.67;2.10;Al Raid Club Stadium (Buraydah (Buraidah))
1724781600,Aug;27;2024;-;6:00pm;complete;N/A; Feiha; Nassr;Majed Al Shamrani;2;0.00;0.00;0.67;2.17;1;4;5;2;0;2;86;5,45'10,85,90'5;3;3;2;0;0;0;2;0;0;0;15;20;7;11;4;7;9;6;44;56;0.00;0.00;1.37;2.29;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;8.23;6.32;1.21;1.06;1.29;1.80;2.88;1.57;2.38;King Abdullah Sport City Stadium (Buraydah (Buraidah))
1724859900,Aug;28;2024;-;3:45pm;complete;N/A; Ittifaq; Akhdoud;Khaled Al Teris;2;0.00;0.00;0.50;1.17;1;0;1;0;0;0;63;;4;3;0;0;1;0;0;0;1;0;9;14;5;4;3;6;6;7;49;51;0.00;0.00;1.20;1.18;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.68;3.92;4.48;1.22;1.79;2.79;5.15;1.76;1.91;Al Ettifaq Club Stadium (Ad Dammām (Dammam))
1724868000,Aug;28;2024;-;6:00pm;complete;N/A; Hil;Dhamk;Istvan Kovacs;2;0.00;0.00;3.00;0.50;3;2;5;1;1;0;45'5,73,84;49,53;8;1;2;0;3;0;0;2;1;2;16;7;10;4;2;2;15;11;67;33;0.00;0.00;1.95;0.79;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.10;9.36;11.72;1.06;1.29;1.77;2.71;1.83;1.83;Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1724868000,Aug;28;2024;-;6:00pm;complete;N/A; Wahda; Orubah;N/A;2;1.00;0.00;1.00;0.88;2;1;3;2;1;1;1,90'3;33;3;6;3;0;0;0;1;2;0;0;13;10;4;5;5;2;7;10;53;47;1.85;0.91;1.11;1.00;4.00;50;100;50;50;50;0;100;50;100;5.00;5.00;2.00;3.25;3.50;1.21;1.70;2.75;5.10;1.57;2.25;King Abdulaziz Sports City Stadium (Makkah (Mecca))
1724946900,Aug;29;2024;-;3:55pm;complete;N/A; Riyadh; Kholood;Sultan Al-Harbi;2;0.00;0.00;1.17;1.14;3;1;4;1;1;0;21,75,90'4;50;5;7;1;0;2;0;1;0;2;0;12;13;6;5;3;5;13;14;45;55;0.00;0.00;1.35;1.36;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.85;3.40;3.75;1.18;1.65;2.63;4.60;1.57;2.25;Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1724954400,Aug;29;2024;-;6:00pm;complete;N/A; Kheej; Shabab;Abdullah Al Awedan;2;0.00;0.00;1.43;2.17;0;1;1;0;0;0;;60;3;0;0;0;3;0;0;0;1;2;9;5;3;3;4;1;12;19;53;47;0.00;0.00;1.01;0.74;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;3.83;3.39;1.87;1.27;1.88;3.18;5.95;1.75;1.92;Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1724954400,Aug;29;2024;-;6:00pm;complete;N/A; Ittihad; Taawon;Ivan Kružliak;2;0.00;0.00;3.00;0.67;2;1;3;0;0;0;70,90'8;59;4;3;3;0;4;1;2;1;1;4;14;15;7;5;3;4;10;12;51;49;0.00;0.00;1.45;1.25;0.00;0;0;0;0;0;0;0;0;0;0.00;0.00;1.79;3.99;3.85;1.15;1.59;2.24;4.10;1.57;2.25;King Abdullah Sports City (Jeddah)
1726242300,Sep;13;2024;-;3:45pm;complete;N/A; Taawon; Kheej;Khaled Al Teris;3;3.00;3.00;2.00;1.50;2;0;2;1;1;0;18,51;;4;5;5;0;3;0;4;1;2;1;16;13;6;0;6;8;14;10;57;43;1.28;0.60;1.52;0.90;1.00;0;0;0;0;0;0;50;0;50;2.00;6.00;1.60;3.60;4.50;1.31;1.97;3.48;6.65;1.91;1.80;Al Taawoun Club Stadium (Buraydah (Buraidah))
1726242600,Sep;13;2024;-;3:50pm;complete;N/A;Dhamk; Akhdoud;Majed Al Shamrani;3;0.00;0.00;1.71;1.17;3;1;4;3;3;0;6,12,28;73;5;11;2;0;2;0;1;1;1;1;11;22;6;6;5;10;11;13;40;60;1.67;1.18;1.29;1.97;1.00;0;0;0;0;0;0;50;0;50;8.00;3.00;2.05;3.30;3.55;1.38;2.10;3.85;8.00;1.83;1.83;Dhamak Club Stadium (Khamis Mushait)
